# OpenRGB detector identity index (name/bus/IDs only). Source revision 81bbe18a84c2e507006f19dd252e397e40a56bfe.
# OpenRGB is GPL-2.0-or-later (Adam Honse / contributors). Not a protocol dump.
# Regenerated by python3 scripts/agent-run.py fetch-openrgb-device-index
Name,Category,Type,RGBController,VID,PID,SVID,SPID
ASUS ROG STRIX Radeon RX 470 Gaming OC,GPU,I2C,AsusAuraGPUControllers,1002,67df,1043,04b0
ASUS ROG STRIX Radeon RX 480 Gaming,GPU,I2C,AsusAuraGPUControllers,1002,67df,1043,04fd
ASUS ROG STRIX Radeon RX 480 Gaming OC,GPU,I2C,AsusAuraGPUControllers,1002,67df,1043,04fb
ASUS ROG STRIX Radeon RX 570 Gaming OC,GPU,I2C,AsusAuraGPUControllers,1002,67df,1043,04c2
ASUS ROG STRIX Radeon RX 570 Gaming OC,GPU,I2C,AsusAuraGPUControllers,1002,67df,1043,0588
ASUS ROG STRIX Radeon RX 580 Gaming OC,GPU,I2C,AsusAuraGPUControllers,1002,67df,1043,0517
ASUS ROG STRIX Radeon RX 580 Gaming TOP,GPU,I2C,AsusAuraGPUControllers,1002,67df,1043,0519
ASUS ROG STRIX Radeon RX 590 Gaming,GPU,I2C,AsusAuraGPUControllers,1002,67df,1043,056a
Sapphire Radeon RX 470/480 Nitro+,GPU,I2C,SapphireV1Controllers,1002,67df,174b,e347
Sapphire Radeon RX 570/580/590 Nitro+,GPU,I2C,SapphireV1Controllers,1002,67df,1da2,e366
Sapphire Radeon RX 570/580/590 Nitro+,GPU,I2C,SapphireV1Controllers,1002,67df,1da2,e399
ASUS ROG STRIX Radeon RX 560 Gaming,GPU,I2C,AsusAuraGPUControllers,1002,67ff,1043,04bc
ASUS ROG STRIX Radeon RX 560 Gaming,GPU,I2C,AsusAuraGPUControllers,1002,67ff,1043,04be
ASUS AREZ STRIX Radeon RX Vega 56 Gaming OC,GPU,I2C,AsusAuraGPUControllers,1002,687f,1043,0555
ASUS ROG STRIX Radeon Vega 64,GPU,I2C,AsusAuraGPUControllers,1002,687f,1043,04c4
Sapphire Radeon RX Vega 56/64 Nitro+,GPU,I2C,SapphireV1Controllers,1002,687f,1da2,e37f
Sapphire Radeon RX 580 Nitro+ (2048SP),GPU,I2C,SapphireV1Controllers,1002,6fdf,1da2,e366
ASUS ROG STRIX Radeon RX 5600 XT Gaming OC,GPU,I2C,AsusAuraGPUControllers,1002,731f,1043,04ec
ASUS ROG STRIX Radeon RX 5700 Gaming OC,GPU,I2C,AsusAuraGPUControllers,1002,731f,1043,04e4
ASUS ROG STRIX Radeon RX 5700 XT Gaming OC,GPU,I2C,AsusAuraGPUControllers,1002,731f,1043,04e2
ASUS ROG STRIX Radeon RX 5700 XT Gaming OC,GPU,I2C,AsusAuraGPUControllers,1002,731f,1043,05c1
ASUS ROG STRIX Radeon RX 5700 XT Gaming OC,GPU,I2C,AsusAuraGPUControllers,1002,731f,1043,05c3
MSI Radeon RX 5600 XT Gaming X,GPU,I2C,MSIGPUControllers,1002,731f,1462,c810
PowerColor Red Devil RX5700,GPU,I2C,PowerColorRedDevilGPUControllersV1,1002,731f,148c,2399
PowerColor Red Devil RX5700XT,GPU,I2C,PowerColorRedDevilGPUControllersV1,1002,731f,148c,2398
Sapphire Radeon RX 5700 XT Nitro+,GPU,I2C,SapphireV3Controllers,1002,731f,1da2,e409
Sapphire Radeon RX 5700 XT Nitro+,GPU,I2C,SapphireV3Controllers,1002,731f,1da2,e410
Sapphire Radeon RX 5700 XT Nitro+,GPU,I2C,SapphireV3Controllers,1002,731f,1da2,426e
Sapphire Radeon RX 5500 XT Nitro+,GPU,I2C,SapphireV3Controllers,1002,7340,1da2,e423
ASUS ROG STRIX LC Radeon RX 6950 XT Gaming OC,GPU,I2C,ENESMBusGPUControllers,1002,73a5,1043,05e9
ASUS TUF Radeon RX 6950 XT Gaming OC,GPU,I2C,ENESMBusGPUControllers,1002,73a5,1043,0504
MSI Radeon RX 6950 XT Gaming X Trio,GPU,I2C,MSIGPUControllers,1002,73a5,1462,3955
Sapphire Radeon RX 6950 XT Nitro+,GPU,I2C,SapphireV3Controllers,1002,73a5,1da2,441d
Sapphire Radeon RX 6950 XT Nitro+ Pure,GPU,I2C,SapphireV3Controllers,1002,73a5,1da2,440d
Sapphire Radeon RX 6950 XT Toxic,GPU,I2C,SapphireV3Controllers,1002,73a5,1da2,d440
ASUS ROG STRIX LC Radeon RX 6900 XT Gaming OC TOP,GPU,I2C,ENESMBusGPUControllers,1002,73af,1043,04fc
ASUS TUF Radeon RX 6900 XT T16G Gaming,GPU,I2C,ENESMBusGPUControllers,1002,73af,1043,04fe
Gigabyte AORUS RX 6900 XT EXTREME WATERFORCE WB,GPU,I2C,GigabyteRGBFusion2GPUControllers,1002,73af,1458,2333
Gigabyte AORUS RX 6900 XT MASTER rev 2.0,GPU,I2C,GigabyteRGBFusion2GPUControllers,1002,73af,1458,2332
MSI Radeon RX 6900 XT Gaming Z Trio,GPU,I2C,MSIGPUControllers,1002,73af,1462,3955
PowerColor Red Devil RX6900XT,GPU,I2C,PowerColorRedDevilGPUControllersV1,1002,73af,148c,2408
PowerColor Red Devil RX6900XT Ultimate,GPU,I2C,PowerColorRedDevilGPUControllersV1,1002,73af,148c,2414
Sapphire Radeon RX 6900 XT Toxic,GPU,I2C,SapphireV3Controllers,1002,73af,1da2,f440
ASUS ROG STRIX LC Radeon RX 6800 XT Gaming OC,GPU,I2C,ENESMBusGPUControllers,1002,73bf,1043,04f0
ASUS ROG STRIX LC Radeon RX 6900 XT Gaming OC,GPU,I2C,ENESMBusGPUControllers,1002,73bf,1043,04f8
ASUS ROG STRIX Radeon RX 6800 Gaming OC,GPU,I2C,ENESMBusGPUControllers,1002,73bf,1043,04f4
ASUS TUF Radeon RX 6800 Gaming OC,GPU,I2C,ENESMBusGPUControllers,1002,73bf,1043,04f6
ASUS TUF Radeon RX 6800 XT Gaming OC,GPU,I2C,ENESMBusGPUControllers,1002,73bf,1043,04f2
ASUS TUF Radeon RX 6900 XT Gaming OC,GPU,I2C,ENESMBusGPUControllers,1002,73bf,1043,04fa
Gigabyte Radeon RX 6800 XT GAMING OC,GPU,I2C,GigabyteRGBFusion2GPUControllers,1002,73bf,1458,2328
Gigabyte Radeon RX 6900 XT GAMING OC,GPU,I2C,GigabyteRGBFusion2GPUControllers,1002,73bf,1458,232c
MSI Radeon RX 6800 Gaming X Trio,GPU,I2C,MSIGPUControllers,1002,73bf,1462,3961
MSI Radeon RX 6800 Gaming Z Trio v1,GPU,I2C,MSIGPUControllers,1002,73bf,1462,3956
MSI Radeon RX 6800 XT Gaming X Trio,GPU,I2C,MSIGPUControllers,1002,73bf,1462,3951
MSI Radeon RX 6800 XT Gaming Z Trio,GPU,I2C,MSIGPUControllers,1002,73bf,1462,3953
MSI Radeon RX 6900 XT Gaming X Trio,GPU,I2C,MSIGPUControllers,1002,73bf,1462,3952
MSI Radeon RX 6950 XT Gaming X Trio,GPU,I2C,MSIGPUControllers,1002,73bf,1462,3955
PowerColor Red Devil RX6800XT,GPU,I2C,PowerColorRedDevilGPUControllersV1,1002,73bf,148c,2406
PowerColor Red Devil RX6900XT,GPU,I2C,PowerColorRedDevilGPUControllersV1,1002,73bf,148c,2408
Sapphire Radeon RX 6800 Nitro+,GPU,I2C,SapphireV3Controllers,1002,73bf,1da2,e439
Sapphire Radeon RX 6800 XT Nitro+ SE,GPU,I2C,SapphireV3Controllers,1002,73bf,1da2,438e
Sapphire Radeon RX 6800 XT/6900 XT Nitro+,GPU,I2C,SapphireV3Controllers,1002,73bf,1da2,e438
Sapphire Radeon RX 6900 XT Nitro+ SE,GPU,I2C,SapphireV3Controllers,1002,73bf,1da2,440e
Sapphire Radeon RX 6900 XT Toxic,GPU,I2C,SapphireV3Controllers,1002,73bf,1da2,440f
Sapphire Radeon RX 6900 XT Toxic Limited Edition,GPU,I2C,SapphireV3Controllers,1002,73bf,1da2,f441
ASUS ROG STRIX Radeon RX 6700 XT Gaming OC,GPU,I2C,ENESMBusGPUControllers,1002,73df,1043,05c7
ASUS ROG STRIX Radeon RX 6750 XT Gaming OC,GPU,I2C,ENESMBusGPUControllers,1002,73df,1043,05e5
ASUS TUF Radeon RX 6700 XT Gaming OC,GPU,I2C,ENESMBusGPUControllers,1002,73df,1043,05c9
Gigabyte AORUS RX 6750 XT ELITE 12G,GPU,I2C,GigabyteRGBFusion2GPUControllers,1002,73df,1458,2407
Gigabyte Radeon RX 6700 XT EAGLE 12G,GPU,I2C,GigabyteRGBFusion2GPUControllers,1002,73df,1458,2331
Gigabyte Radeon RX 6700 XT GAMING OC 12G,GPU,I2C,GigabyteRGBFusion2GPUControllers,1002,73df,1458,232d
MSI Radeon RX 6700 XT Gaming X,GPU,I2C,MSIGPUControllers,1002,73df,1462,3981
MSI Radeon RX 6750 XT Gaming X Trio,GPU,I2C,MSIGPUControllers,1002,73df,1462,3990
PowerColor Red Devil RX6700XT,GPU,I2C,PowerColorRedDevilGPUControllersV1,1002,73df,148c,2409
